STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/2019,14.99,0,0,0,12,-3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/2019,15.43,0,0.2,0,21,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/2019,11.86,0,0,0,30,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/3/2019,6.04,0,0,0,28,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/3/2019,5.37,0,0.1,0,39,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/3/2019,14.09,0.56,0,0,43,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/3/2019,19.69,0,0,0,38,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/3/2019,9.62,0,0,0,41,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/3/2019,9.17,0,0,0,49,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/3/2019,11.86,0.54,0,0,58,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/3/2019,20.36,0.4,0,0,62,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/3/2019,14.99,0,0,0,40,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/3/2019,8.5,0,0,0,41,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/3/2019,7.61,0,0,0,43,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/3/2019,7.61,0,0,0,43,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/3/2019,7.83,0,0,0,49,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/3/2019,8.5,0.14,0,0,44,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/3/2019,11.18,0,0,0,45,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/3/2019,10.96,0,0,0,46,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/3/2019,4.47,0,0,0,53,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/3/2019,8.72,0.05,0,0,50,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/3/2019,17.45,0,0,0,42,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/3/2019,4.92,0,0,0,48,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/3/2019,12.08,0.01,0,0,59,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/3/2019,12.08,0,0,0,65,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/3/2019,8.5,0.32,0,0,57,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/3/2019,12.97,0.07,0,0,45,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/3/2019,11.41,0,0,0,40,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/2019,12.75,0,0,0,49,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/2019,14.09,0,0,0,55,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/2019,9.4,0,0,0,58,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/2019,9.84,0.25,0,0,47,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/2019,3.58,0,0,0,57,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/2019,4.92,0,0,0,66,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/4/2019,8.28,0.39,0,0,67,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/4/2019,8.5,0,0,0,73,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/4/2019,11.86,0,0,0,66,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/4/2019,17.9,0.13,0,0,39,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/4/2019,16.11,0.28,0,0,56,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/4/2019,16.55,0.07,0,0,51,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/4/2019,12.3,0,0,0,52,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/4/2019,18.12,0.69,5.4,0,39,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/4/2019,8.28,0,0,3.1,52,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/4/2019,10.29,0,0,0,73,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/4/2019,12.08,0,0,0,77,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/4/2019,12.08,0.31,0,0,65,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/4/2019,25.95,0,0,0,51,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/4/2019,13.87,0,0,0,64,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/4/2019,8.72,0,0,0,77,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/4/2019,13.2,0.02,0,0,80,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/4/2019,8.95,0,0,0,65,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/4/2019,5.82,0,0,0,64,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/4/2019,6.71,0.19,0,0,67,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/4/2019,14.32,0.02,0,0,63,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/4/2019,12.53,0.79,2.5,0,49,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/4/2019,9.62,0,0,0,52,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/4/2019,8.95,1.58,0,0,51,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/4/2019,12.53,1.3,0,0,47,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/2019,8.28,0.8,0,0,58,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/2019,10.29,0.61,0,0,47,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/2019,11.18,0.01,0,0,55,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/2019,5.37,0,0,0,63,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/2019,6.49,0,0,0,73,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/2019,10.07,0.05,0,0,70,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/5/2019,14.54,0.42,0,0,50,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/5/2019,12.08,0.32,0,0,68,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/5/2019,11.41,0.79,0,0,67,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/5/2019,8.5,0,0,0,58,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/5/2019,8.5,0.12,0,0,53,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/5/2019,11.41,0.05,0,0,52,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/5/2019,7.38,0,0,0,61,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/5/2019,4.7,0,0,0,71,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/5/2019,5.14,0,0,0,75,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/5/2019,9.62,0.44,0,0,77,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/5/2019,12.3,0.06,0,0,68,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/5/2019,7.61,0.41,0,0,80,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/5/2019,14.54,0.07,0,0,74,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/5/2019,10.51,0,0,0,57,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/5/2019,14.99,0.33,0,0,54,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/5/2019,14.76,0.59,0,0,82,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/5/2019,11.41,0.08,0,0,74,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/5/2019,7.61,0.26,0,0,75,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/5/2019,11.63,0,0,0,81,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/5/2019,5.82,0,0,0,74,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/5/2019,7.61,1.92,0,0,73,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/5/2019,9.4,0.63,0,0,70,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/5/2019,6.49,0.07,0,0,75,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/5/2019,6.71,0.22,0,0,78,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/5/2019,9.4,0,0,0,81,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/2019,8.95,0,0,0,80,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/2019,8.72,0,0,0,70,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/2019,8.05,0,0,0,67,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/2019,10.51,0.29,0,0,82,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/2019,9.4,0.29,0,0,83,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/2019,6.93,0,0,0,75,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/6/2019,8.95,0,0,0,78,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/6/2019,9.17,0,0,0,76,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/6/2019,5.82,0,0,0,75,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/6/2019,13.65,0,0,0,74,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/6/2019,8.28,0,0,0,82,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/6/2019,10.07,0.75,0,0,71,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/6/2019,14.09,0.05,0,0,68,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/6/2019,14.54,0.05,0,0,80,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/6/2019,8.28,0.02,0,0,70,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/6/2019,9.62,0.07,0,0,60,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/6/2019,7.61,0,0,0,67,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/6/2019,4.25,0,0,0,78,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/6/2019,9.4,0.18,0,0,72,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/6/2019,9.84,0.28,0,0,71,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/6/2019,7.16,0,0,0,72,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/6/2019,10.29,0,0,0,79,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/6/2019,10.29,0.38,0,0,81,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/6/2019,9.62,0.17,0,0,78,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/6/2019,11.18,0.14,0,0,85,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/6/2019,5.82,0.15,0,0,89,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/6/2019,7.61,0.02,0,0,89,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/6/2019,7.61,0.01,0,0,90,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/6/2019,5.14,0,0,0,87,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/6/2019,5.82,0.2,0,0,91,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/2019,6.26,0,0,0,89,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/2019,9.84,0.01,0,0,92,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/2019,6.71,0.41,0,0,86,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/2019,8.28,0,0,0,91,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/2019,6.04,0.47,0,0,91,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/2019,12.53,0,0,0,83,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/7/2019,13.87,0,0,0,77,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/7/2019,6.71,0,0,0,83,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/7/2019,7.16,0,0,0,88,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/7/2019,10.51,0.01,0,0,94,75
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/7/2019,8.05,0,0,0,82,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/7/2019,6.04,0,0,0,87,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/7/2019,9.62,0,0,0,94,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/7/2019,6.49,0,0,0,91,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/7/2019,11.63,0,0,0,92,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/7/2019,6.49,0.05,0,0,82,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/7/2019,5.37,0.47,0,0,92,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/7/2019,10.96,1.36,0,0,87,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/7/2019,11.86,0,0,0,93,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/7/2019,11.63,0.08,0,0,95,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/7/2019,12.3,0.76,0,0,79,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/7/2019,12.75,0,0,0,75,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23/7/2019,7.61,0,0,0,80,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",24/7/2019,5.14,0,0,0,81,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",25/7/2019,4.92,0,0,0,85,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",26/7/2019,9.4,0,0,0,85,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27/7/2019,13.65,0,0,0,89,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",28/7/2019,11.41,0,0,0,89,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",29/7/2019,8.05,0.32,0,0,82,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",30/7/2019,7.83,0,0,0,78,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31/7/2019,8.95,0,0,0,76,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/2019,6.93,0,0,0,80,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/2019,5.37,0,0,0,83,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/2019,3.8,0,0,0,89,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/2019,4.7,0,0,0,89,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/2019,8.28,0,0,0,90,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/2019,6.71,0.01,0,0,85,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/8/2019,7.83,0,0,0,88,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/8/2019,10.07,0.01,0,0,87,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/8/2019,5.82,0,0,0,83,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/8/2019,5.37,0,0,0,86,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/8/2019,7.38,0,0,0,82,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/8/2019,4.92,0.5,0,0,84,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13/8/2019,6.71,0.19,0,0,86,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",14/8/2019,7.16,0,0,0,83,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15/8/2019,7.83,0,0,0,79,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",16/8/2019,7.61,0,0,0,84,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17/8/2019,4.92,0.18,0,0,77,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18/8/2019,7.83,0.86,0,0,82,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",19/8/2019,4.7,0,0,0,85,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",20/8/2019,3.8,0.35,0,0,76,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21/8/2019,6.26,0.02,0,0,83,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",22/8/2019,10.51,0,0,0,76,64
